rank,feature_name,weight_importance
1,url_length,0.23877358439153915
2,qty_dot_url,0.20202683073295463
3,qty_dot_domain,0.1736257460290979
4,path_length,0.13929817234577882
5,qty_slash_url,0.09257222268527181
6,domain_length,0.08201774173790508
7,qty_digit_domain,0.04721604819063848
8,qty_hyphen_domain,0.022658570680687315
9,is_punycode,0.0009935864869418554
10,has_double_slash_path,0.00036246029940309427
11,has_at_symbol,0.00032790672544245355
12,has_http_in_path,6.491107189012112e-05
13,qty_underline_domain,6.221862244950255e-05
